Active User,Passive User,yes_vote
38411,54288,0
50211,34398,0
45114,43284,1
14307,25947,1
25595,26064,0
32758,54635,0
32750,59607,0
37201,38649,0
32671,45251,1
52558,45608,0
47225,22800,1
59567,4856,0
8708,45708,0
10751,4072,1
57202,50296,0
21483,43761,0
52464,53529,0
40902,55614,1
26590,53135,1
34249,27783,0
51874,54298,1
39433,30546,0
54551,31999,1
6811,30845,0
48112,25505,1
37491,37266,1
21000,29075,0
23647,35930,1
28275,57750,1
33069,25416,1
10308,40072,0
35876,35928,0
44291,17857,0
2722,21224,1
26369,59823,0
2049,9352,0
16234,6875,0
28541,40551,0
3777,3190,0
54935,55694,1
15296,17947,0
7096,16704,0
59152,43154,1
59250,14572,0
23381,20909,1
55829,15960,0
47373,2735,0
20191,44089,0
28900,47224,0
30719,22099,0
5695,46666,1
38056,22681,0
46797,32408,0
16523,48676,0
27719,17940,0
39935,51959,0
23160,57434,0
31510,16000,1
49934,17572,1
1895,46704,0
45743,39079,0
9445,30483,0
31522,50633,1
9062,52062,0
56085,32611,1
18476,59424,0
44246,4664,1
2098,38860,1
48753,1289,1
37661,13389,0
1499,59181,0
1674,32066,1
40962,23072,0
17412,45925,1
11228,22082,0
8795,17590,0
13042,11638,0
46572,52702,0
23305,57177,0
5135,40659,0
25223,16882,0
57886,36233,0
28318,963,1
31630,42593,0
4094,20512,0
50033,16274,0
25704,15697,0
18109,31608,0
594,19146,0
10933,50640,0
26350,25060,0
38981,51068,1
54759,2168,0
42970,31381,0
21319,29969,1
18984,6707,0
7433,29917,1
45965,12780,1
29018,42970,0
27856,33381,1
14324,57902,1
42173,1444,1
39880,18302,0
24557,22502,0
48222,41836,0
41774,14063,0
7183,26702,1
13626,41842,0
53246,18861,0
14088,47629,1
45899,41319,1
50281,12439,0
32019,29701,1
802,17674,0
37238,15985,0
16339,29748,0
48667,16541,1
26841,48636,1
49653,58312,0
29427,39449,0
38140,51705,0
48635,28092,0
26644,17647,0
38559,4943,0
32212,35497,0
4052,30709,0
44799,31436,0
26228,1931,0
20640,53064,0
47642,39823,0
47101,47126,0
26529,57381,1
3130,8943,0
12964,10178,1
17036,44790,1
57436,36379,0
46697,48087,0
35494,56350,0
26079,21556,1
41897,11802,0
51534,49716,1
8226,36768,0
1413,10487,1
41176,40673,0
40322,54274,0
7049,32138,1
58903,47634,1
18208,53168,1
40668,1498,0
15946,32241,0
678,33531,1
43567,23354,0
3764,7886,0
26331,46188,0
12505,13944,0
38318,33636,1
58423,42986,1
47140,281,0
17019,13603,0
7661,23999,0
46194,15792,0
12376,41533,1
32400,41748,0
10416,40881,0
30757,3189,0
46388,15032,0
49932,28426,0
14750,2617,1
14823,50853,0
25686,36858,1
46516,35579,0
695,56730,0
24246,50331,0
51706,23035,0
52131,14422,1
45630,1422,1
48905,27798,0
10619,56350,1
15161,53234,0
45471,24608,1
42765,32121,0
45078,3008,1
4847,53276,0
6624,5719,1
17443,5772,1
42979,4108,0
11128,2598,1
15209,6208,0
5819,43751,1
51983,45467,0
28634,44201,1
38442,57709,0
57665,55891,1
43708,34394,0
19543,11259,1
22233,8645,0
3843,27160,1
25816,3451,0
7428,30028,0
20130,13677,0
4845,44286,0
35925,36143,1
1648,26908,1
29489,31252,1
17226,47227,0
57816,44833,0
47554,41275,0
49258,29297,0
20288,54531,0
15399,638,0
2398,2172,0
30187,27973,0
33951,55504,0
9762,22306,0
23528,57469,0
44218,9702,0
28395,54183,1
42744,12925,0
29922,53995,0
34932,17408,1
59673,4058,0
15963,50504,0
38552,46281,0
42204,36372,1
58399,16883,0
41764,56587,0
47684,18095,1
52825,21406,0
52762,51882,0
7828,3771,1
8383,28329,1
55607,28365,0
15132,33821,0
45250,58262,0
15500,42237,0
29963,21104,0
17890,56515,0
22472,2400,1
2972,17372,0
30872,44435,0
25245,25424,0
29572,38897,0
45612,42131,0
5012,8935,1
14144,3805,1
32259,28321,0
10289,35798,0
42766,8931,1
35317,790,0
45581,25375,0
40125,30328,0
9121,49386,1
23516,39237,0
28773,55932,1
18872,52569,1
53370,3767,0
18443,13857,1
58807,9647,0
54104,51971,0
45844,24772,0
8459,48225,0
22432,49104,1
21272,59189,1
58283,40493,0
34848,9359,0
40407,7060,1
27259,48593,1
7424,45398,0
15340,38973,0
32185,5073,0
24942,51666,0
9671,18760,0
38785,56343,1
32878,48284,1
26499,13342,0
25110,11771,0
56097,58854,0
52988,37610,0
12776,44610,0
14041,56940,1
23478,50973,1
7813,8302,0
4547,51342,0
56697,44688,0
7060,6551,0
12134,41285,0
24301,24862,0
9359,18488,0
7365,14880,0
53236,28140,0
30671,25756,1
43972,50954,0
13357,58189,0
4967,9232,0
22271,57510,1
17048,6244,1
47633,11422,1
43791,49271,0
38208,4447,0
20490,2482,1
18229,3287,0
7192,2175,0
29017,29597,0
44922,8701,0
46730,9378,1
540,8252,0
49600,47690,0
58518,48982,1
49101,41448,0
12399,44039,1
32035,53425,1
2038,27273,1
31412,38235,0
32348,37335,0
45279,53042,0
35992,36088,0
10722,11158,0
14046,50675,0
35488,34394,0
51207,37485,1
53092,41473,0
1359,51579,1
49356,43004,1
55676,2901,0
53210,25156,0
18783,28845,1
6017,55907,0
16166,10524,0
11331,22875,1
27640,46509,0
15959,42263,0
38507,16466,1
31423,7452,0
605,25174,0
15040,8494,0
27222,8669,0
28037,16151,0
28856,11660,0
53813,59927,0
42836,33604,0
48253,28264,1
9837,55867,1
49773,25844,0
25810,47492,0
6506,43887,0
31923,32565,1
14497,711,1
46580,42762,1
51079,32719,1
44655,9094,0
15951,322,1
57871,43162,1
36704,18921,0
38262,7156,0
57110,51994,0
524,14518,1
32980,44572,1
25827,43940,1
